Codigo;Descripcion;Color;Talla;Departamento;Referencia;Marca;Costo;Precio Maximo;Precio Oferta;Precio Mayor;Precio Minimo
BS4051;BOTA DE SEGURIDAD SAGA T/SUPERVISOR 4051;Marron;46;BOTAS DE SEGURIDAD;BOTA MARRON EN NOBUCK - TIPO SUPERVISOR;SAGA;26,23;42;39;37;34
;;;45;;;;26,23;42;39;37;34
;;;44;;;;26,23;42;39;37;34
;;;43;;;;25,9;42;39;37;34
;;;42;;;;25,9;42;39;37;34
;;;41;;;;25,9;42;39;37;34
;;;40;;;;25,9;42;39;37;34
;;;39;;;;25,9;42;39;37;34
;;;38;;;;25,9;42;39;37;34
;;;37;;;;25,9;42;39;37;34
;;;36;;;;25,9;42;39;37;34
;;;35;;;;25,9;42;39;37;34
BS4050;BOTA DE SEGURIDAD SAGA T/SUPERVISOR 4050;Marron;46;BOTAS DE SEGURIDAD;BOTA MARRON EN NOBUCK - TIPO SUPERVISOR;SAGA;22,05;35;32;30;28
;;;45;;;;22,05;35;32;30;28
;;;44;;;;22,05;35;32;30;28
;;;43;;;;21,39;35;32;30;28
;;;42;;;;21,39;35;32;30;28
;;;41;;;;21,39;35;32;30;28
;;;40;;;;21,39;35;32;30;28
;;;39;;;;21,39;35;32;30;28
;;;38;;;;21,39;35;32;30;28
;;;37;;;;21,39;35;32;30;28
;;;36;;;;21,39;35;32;30;28
;;;35;;;;21,39;35;32;30;28
BS2021;BOTA DE SEGURIDAD SAGA T/OPERATIVA 2021;Negro;46;BOTAS DE SEGURIDAD;BOTA MARRON EN NAPPA - TIPO OPERATIVA;SAGA;16,93;28;26;24;22
;;;45;;;;16,93;28;26;24;22
;;;44;;;;16,93;28;26;24;22
;;;43;;;;16;28;26;24;22
;;;42;;;;16;28;26;24;22
;;;41;;;;16;28;26;24;22
;;;40;;;;16;28;26;24;22
;;;39;;;;16;28;26;24;22
;;;38;;;;16;28;26;24;22
;;;37;;;;16;28;26;24;22
;;;36;;;;16;28;26;24;22
;;;35;;;;16;28;26;24;22
140201;PLANTILLA  ANATOMICA SAGA;;;BOTAS DE SEGURIDAD;;SAGA;2,82;5;4,5;4;3,5
